key	en	fr	es	it	pt	nl	bg	cs	de	hr	pl	ru	ja	ko
ad_break_inter_msg	Your game will resume soon.	Votre partie va reprendre sous peu.	Tu partida se reanudará pronto.	La tua partita riprenderà a breve.	O seu jogo será retomado em breve.	Je spel wordt binnenkort hervat.	Играта ви ще продължи скоро.	Vaše hra bude brzy pokračovat.	Dein Spiel wird in Kürze fortgesetzt.	Tvoja će se igra uskoro nastaviti.	Twoja gra wkrótce zostanie wznowiona.	Ваша игра скоро продолжится.	まもなくゲームが再開されます。	곧 게임이 다시 시작됩니다.
ad_break_rewarded_msg	Your game will resume soon.	Votre partie va reprendre sous peu.	Tu partida se reanudará pronto.	La tua partita riprenderà a breve.	O seu jogo será retomado em breve.	Je spel wordt binnenkort hervat.	Играта ви ще продължи скоро.	Vaše hra bude brzy pokračovat.	Dein Spiel wird in Kürze fortgesetzt.	Tvoja će se igra uskoro nastaviti.	Twoja gra wkrótce zostanie wznowiona.	Ваша игра скоро продолжится.	まもなくゲームが再開されます。	곧 게임이 다시 시작됩니다.
														
# Rate us popup														
rate_us_title	Rate Us	Notez-nous	Vótanos	Valutaci	Avalia-nos	Beoordeel ons	Оценете ни	Ohodnoťte nás	Bewerte uns	Ocijenite nas	Oceń nas	Оцените нас	評価する	평가하기
rate_us_msg	Please rate us 5 stars if you like the game!\nWe'd love to hear your feedback!	Si vous aimez le jeu, un avis 5 étoiles nous encouragerait beaucoup !	¡Si disfrutas del juego, una calificación de 5 estrellas sería un gran aliento para nosotros!	Se ti piace il gioco, una valutazione a 5 stelle sarebbe un grande incoraggiamento per noi!	Se gostas do jogo, uma avaliação de 5 estrelas seria um grande incentivo para nós!	Als je het spel leuk vindt, zou een 5-sterrenbeoordeling een grote aanmoediging voor ons zijn!	Ако харесвате играта, оценка от 5 звезди би била голямо насърчение за нас!	Pokud vás hra baví, 5hvězdičkové hodnocenie by pro nás bylo velkým povzbuzením!	Wenn dir das Spiel gefällt, wäre eine 5-Sterne-Bewertung eine tolle Ermutigung für uns!	Ako uživate u igri, ocjena od 5 zvjezdica bila bi nam veliki poticaj!	Jeśli podoba Ci się gra, ocena 5 gwiazdek będzie dla nas wielką zachętą!	Если вам нравится игра, оценка 5 звезд станет для нас отличным стимулом!	ゲームを楽しんでいただけているなら、星5つの評価が励みになります！	게임이 즐거우시다면 별 5개 평점은 저희에게 큰 격려가 됩니다!
														
# Restore corrupted save popup														
Restore previous save?	Restore previous save?	Restaurer la sauvegarde ?	¿Restaurar guardado?	Ripristina salvataggio?	Restaurar salvamento?	Herstel opslag?	Възстановяване?	Obnovit uložené?	Wiederherstellen?	Vratiti spremanje?	Przywrócić zapis?	Восстановить?	復元しますか？	복원할까요?
We find a save with a different level, do you want to recover?	We find a save with a different level, do you want to recover?	Nous avons trouvé une sauvegarde avec un niveau différent, voulez-vous la restaurer?	¿Hemos encontrado una partida guardada con un nivel diferente, deseas recuperarla?	Abbiamo trovato un salvataggio con un livello diverso, vuoi recuperarlo?	Encontramos um salvamento com um nível diferente, deseja recuperar?	We hebben een opgeslagen spel met een ander niveau gevonden, wil je het herstellen?	Намерихме запис с различно ниво, искате ли да го възстановите?	Našli jsme uloženou hru s jinou úrovní, chcete ji obnovit?	Wir haben einen Spielstand mit einem anderen Level gefunden, möchten Sie ihn wiederherstellen?	Pronašli smo spremljenu igru s drugačijom razinom, želite li je vratiti?	Znaleźliśmy zapis z innym poziomem, czy chcesz go przywrócić?	Найдено сохранение с другим уровнем, хотите восстановить?	別のレベルのセーブデータが見つかりました。復元しますか？	다른 레벨의 저장 데이터를 발견했습니다. 복원하시겠습니까?
Restore (level {0})	Restore (level {0})	Restaurer (niveau {0})	Restaurar (nivel {0})	Ripristina (livello {0})	Restaurar (nível {0})	Herstellen (niveau {0})	Възстанови (ниво {0})	Obnovit (úroveň {0})	Wiederherstellen (Level {0})	Vrati (razina {0})	Przywróć (poziom {0})	Восстановить (уровень {0})	復元（レベル{0}）	복원 (레벨 {0})
Continue (level {0})	Continue (level {0})	Continuer (niveau {0})	Continuar (nivel {0})	Continua (livello {0})	Continuar (nível {0})	Doorgaan (niveau {0})	Продължи (ниво {0})	Pokračovat (úroveň {0})	Fortsetzen (Level {0})	Nastavi (razina {0})	Kontynuuj (poziom {0})	Продолжить (уровень {0})	続ける（レベル{0}）	계속 (레벨 {0})
Are you sure?	Are you sure?	Êtes-vous sûr ?	¿Estás seguro?	Sei sicuro?	Tem certeza?	Weet je het zeker?	Сигурни ли сте?	Jste si jistý?	Sind Sie sicher?	Jeste li sigurni?	Czy jesteś pewien?	Вы уверены?	本当にいいですか？	확실합니까?
Yes	Yes	Oui	Sí	Sì	Sim	Ja	Да	Ano	Ja	Da	Tak	Да	はい	예
No	No	Non	No	No	Não	Nee	Не	Ne	Nein	Ne	Nie	Нет	いいえ	아니요
														
# Shop														
NO AD BUNDLE	NO AD BUNDLE	PACK SANS PUB	PAQUETE SIN ANUNCIOS	PACCHETTO SENZA PUBBLICITÀ	PACOTE SEM ANÚNCIOS	BUNDEL ZONDER ADVERTENTIES	ПАКЕТ БЕЗ РЕКЛАМИ	BALÍČEK BEZ REKLAM	WERBEFREIES PAKET	PAKET BEZ OGLASA	PAKIET BEZ REKLAM	ПАКЕТ БЕЗ РЕКЛАМЫ	広告なしパック	광고 없는 패키지
BUNDLE	BUNDLE	PACK	PAQUETE	PACCHETTO	PACOTE	BUNDEL	ПАКЕТ	BALÍČEK	PAKET	PAKET	PAKIET	ПАКЕТ	バンドル	번들
BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!	BEST DEAL!
Free	Free	Gratuit	Gratis	Gratis	Grátis	Gratis	Безплатно	Zdarma	Gratis	Besplatno	Darmowe	Бесплатно	無料	무료
No more ads	No more ads	Pas de publicités	No más anuncios	Niente più pubblicità	Sem mais anúncios	Geen advertenties meer	Без повече реклами	Žádné další reklamy	Keine Werbung mehr	Nema više oglasa	Koniec reklam	Больше нет рекламы	広告なし	더 이상 광고 없음
No more interrupting ads!	No more interrupting ads!	Plus de publicités ennuyeuses !	¡No más anuncios interrumpidos!	Niente più pubblicità interruttive!	Sem mais anúncios interruptivos!	Geen storende advertenties meer!	Без повече натрапчиви реклами!	Žádné rušivé reklamy!	Keine störenden Werbungen mehr!	Nema više dosadnih oglasa!	Koniec irytujących reklam!	Больше никаких навязчивых реклам!	邪魔な広告はもうありません！	더 이상 방해되는 광고 없음!
Thank you!	Thank you!	Merci !	¡Gracias!	Grazie!	Obrigado!	Dank je!	Благодаря!	Děkuji!	Danke!	Hvala!	Dziękuję!	Спасибо!	ありがとうございます！	감사합니다!
Collect	Collect	Récupérer	Recoger	Raccogliere	Coletar	Verzamelen	Събиране	Sbírat	Sammeln	Prikupiti	Zbierać	Собирать	収集	수집
														
														
Congratulations!	Congratulations!	Félicitations !	¡Felicidades!	Congratulazioni!	Parabéns!	Gefeliciteerd!	Поздравления!	Gratulujeme!	Herzlichen Glückwunsch!	Čestitamo!	Gratulacje!	Поздравляю!	おめでとうございます！	축하합니다!
Remove ads	Remove ads	Enlever les pubs	Eliminar anuncios	Rimuovere la pubblicità	Remover anúncios	Advertenties verwijderen	Премахване на реклами	Odstranit reklamy	Werbung entfernen	Ukloni oglase	Usuń reklamy	Удалить рекламу	広告を削除	광고 제거
Ads disabled	Ads disabled	Pubs désactivées	Anuncios desactivados	Pubblicità disattivata	Anúncios desativados	Advertenties uitgeschakeld	Рекламата е деактивирана	Reklamy vypnuty	Werbung deaktiviert	Oglasi onemogućeni	Reklamy wyłączone	Реклама отключена	広告無効	광고 비활성화
														
														
# Languages														
Language	Language	Langue	Idioma	Lingua	Idioma	Taal	Език	Jazyk	Sprache	Jezik	Język	Язык	言語	언어
lang	English	Français	Español	Italiano	Português	Nederlands	Български	Čeština	Deutsch	Hrvatski	Polski	Русский	日本語	한국어
lang_invalid	(System)	(Système)	(Sistema)	(Sistema)	(Sistema)	(Systeem)	(Система)	(Systém)	(System)	(Sustav)	(System)	(Система)	(システム)	(시스템)
lang_en	English	Anglais	Inglés	Inglese	Inglês	Engels	Английски	Angličtina	Englisch	Engleski	Angielski	Английский	英語	영어
lang_fr	French	Français	Francés	Francese	Francês	Frans	Френски	Francouzština	Französisch	Francuski	Francuski	Французский	フランス語	프랑스어
lang_es	Spanish	Espagnol	Español	Spagnolo	Espanhol	Spaans	Испански	Španělština	Spanisch	Španjolski	Hiszpański	Испанский	スペイン語	스페인어
lang_it	Italian	Italien	Italiano	Italiano	Italiano	Italiaans	Италиански	Italština	Italienisch	Talijanski	Włoski	Итальянский	イタリア語	이탈리아어
lang_pt	Portuguese	Portugais	Portugués	Portoghese	Português	Portugees	Португалски	Portugalština	Portugiesisch	Portugalski	Portugalski	Португальский	ポルトガル語	포르투갈어
lang_nl	Dutch	Néerlandais	Holandés	Olandese	Holandês	Nederlands	Холандски	Holandština	Niederländisch	Nizozemski	Niderlandzki	Нидерландский	オランダ語	네덜란드어
lang_bg	Bulgarian	Bulgare	Búlgaro	Bulgaro	Búlgaro	Bulgaars	Български	Bulharština	Bulgarisch	Bugarski	Bułgarski	Болгарский	ブルガリア語	불가리아어
lang_cs	Czech	Tchèque	Checo	Ceco	Checo	Tsjechisch	Чешки	Čeština	Tschechisch	Češki	Czeski	Чешский	チェコ語	체코어
lang_de	German	Allemand	Alemán	Tedesco	Alemão	Duits	Немски	Němčina	Deutsch	Njemački	Niemiecki	Немецкий	ドイツ語	독일어
lang_hr	Croatian	Croate	Croata	Croato	Croata	Kroatisch	Хърватски	Chorvatština	Kroatisch	Hrvatski	Chorwacki	Хорватский	クロアチア語	크로아티아어
lang_pl	Polish	Polonais	Polaco	Polacco	Polaco	Pools	Полски	Polština	Polnisch	Poljski	Polski	Польский	ポーランド語	폴란드어
lang_ru	Russian	Russe	Ruso	Russo	Russo	Russisch	Руски	Ruština	Russisch	Ruski	Rosyjski	Русский	ロシア語	러시아어
lang_ja	Japanese	Japonais	Japonés	Giapponese	Japonês	Japans	Японски	Japonština	Japanisch	Japanski	Japoński	Японский	日本語	일본어
lang_ko	Korean	Coréen	Coreano	Coreano	Coreano	Koreaans	Корейски	Korejština	Koreanisch	Korejski	Koreański	Корейский	韓国語	한국어
lang2_invalid	(System)	(Système)	(Sistema)	(Sistema)	(Sistema)	(Systeem)	(Система)	(Systém)	(System)	(Sustav)	(System)	(Система)	(システム)	(시스템)
lang2_en	English	English	English	English	English	English	English	English	English	English	English	English	English	English
lang2_fr	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français
lang2_es	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español
lang2_it	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano
lang2_pt	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português
lang2_nl	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands	Nederlands
lang2_bg	Български	Български	Български	Български	Български	Български	Български	Български	Български	Български	Български	Български	Български	Български
lang2_cs	Čeština	Čeština	Čeština	Čeština	Čeština	Čeština	Čeština	Čeština	Čeština	Čeština	Čeština	Čeština	Čeština	Čeština
lang2_de	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch
lang2_hr	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski	Hrvatski
lang2_pl	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski
lang2_ru	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский	Русский
lang2_ja	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語
lang2_ko	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어
